2025-10-02 21:27:48 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-02 21:28:03 | Amadon | INFO     | info:76 | Usando configuração avançada de logging
2025-10-02 21:28:03 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-02 21:28:03 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-02 21:28:03 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-02 21:28:03 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-02 21:28:06 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-02 21:28:51 | Amadon | INFO     | info:76 | Usando configuração avançada de logging
2025-10-02 21:28:51 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-02 21:28:51 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-02 21:28:51 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-02 21:28:51 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-02 21:28:57 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-02 21:29:18 | Amadon | INFO     | info:76 | Usando configuração avançada de logging
2025-10-02 21:29:18 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-02 21:29:18 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-02 21:29:18 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-02 21:29:18 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-02 21:29:26 | Amadon | INFO     | info:76 | Abrindo módulo: Busca (placeholder)
2025-10-02 21:29:29 | Amadon | INFO     | info:76 | Abrindo módulo: Assuntos (placeholder)
2025-10-02 21:29:30 | Amadon | INFO     | info:76 | Abrindo módulo: Artigos (placeholder)
2025-10-02 21:33:14 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-02 21:33:23 | Amadon | INFO     | info:76 | Usando configuração avançada de logging
2025-10-02 21:33:23 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-02 21:33:23 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-02 21:33:23 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-02 21:33:23 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-02 21:34:20 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-02 21:36:20 | Amadon | INFO     | info:76 | Usando configuração avançada de logging
2025-10-02 21:36:20 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-02 21:36:20 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-02 21:36:20 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-02 21:36:20 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-02 21:37:34 | Amadon | INFO     | info:76 | Abrindo módulo: Ajuda (placeholder)
2025-10-02 21:37:36 | Amadon | INFO     | info:76 | Abrindo módulo: Configuração (placeholder)
2025-10-02 21:37:38 | Amadon | INFO     | info:76 | Abrindo módulo: Busca (placeholder)
2025-10-02 21:37:39 | Amadon | INFO     | info:76 | Abrindo módulo: Artigos (placeholder)
2025-10-02 21:37:40 | Amadon | INFO     | info:76 | Abrindo módulo: Assuntos (placeholder)
2025-10-02 21:37:42 | Amadon | INFO     | info:76 | Abrindo módulo: Documentos (placeholder)
2025-10-02 21:37:43 | Amadon | INFO     | info:76 | Abrindo módulo: Documentos (placeholder)
2025-10-02 21:38:14 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-03 11:03:34 | Amadon | INFO     | info:76 | Usando configuração avançada de logging
2025-10-03 11:03:34 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 11:03:34 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-03 11:03:34 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-03 11:03:34 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-03 11:03:52 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-03 11:18:44 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 11:18:44 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 11:18:44 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-03 11:18:44 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-03 11:18:44 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-03 11:18:46 | Amadon | INFO     | info:76 | Abrindo módulo: Artigos (placeholder)
2025-10-03 11:18:51 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-03 11:32:08 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 11:32:08 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 11:32:08 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-03 11:32:08 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-03 11:32:08 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-03 11:32:34 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-03 12:00:06 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 12:00:06 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 12:00:06 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-03 12:00:06 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-03 12:00:06 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-03 12:00:10 | Amadon | INFO     | info:76 | Abrindo módulo: Artigos (placeholder)
2025-10-03 12:00:12 | Amadon | INFO     | info:76 | Abrindo módulo: Assuntos (placeholder)
2025-10-03 12:00:14 | Amadon | INFO     | info:76 | Abrindo módulo: Ajuda (placeholder)
2025-10-03 12:00:21 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-03 12:20:39 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 12:20:39 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 12:20:39 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-03 12:20:39 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-03 12:20:39 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-03 12:20:48 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-03 12:22:36 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 12:22:36 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 12:22:36 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-03 12:22:36 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-03 12:22:36 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-03 12:22:47 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-03 12:23:26 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 12:23:26 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 12:23:26 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-03 12:23:26 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-03 12:23:26 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
